Nome Instituição,CNPJ Instituição,Município Instituição,UF,Compra,Inserção,Modalidade da Compra,Código BR,Descrição CATMAT,Unidade Fornecimento,Genérico,CNPJ Fornecedor,Fornecedor,CNPJ Fabricante,Fabricante,Qtd Itens Comprados,Preço Unitário,Preço Total
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,365246,"EXTRATO, TIPO:EXTRATO GLICÓLICO, NOME COMUM:BABOSA, NOME BOTÂNICO:ALOE VERA L., ASPECTO FÍSICO:LÍQUIDO",Litro,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,360,2.66,957.6
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,271620,"OLANZAPINA, DOSAGEM:5 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,3060,1.1,3366.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,328530,"VALPROATO DE SÓDIO, CONCENTRAÇÃO:500 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,24600,1.16,28536.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,448808,"NORETISTERONA, CONCENTRAÇAO:0,35 MG, CARACTERÍSTICAS ADICIONAIS:EM BLISTER CALENDÁRIO",Blister,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,4200,0.37,1554.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,480364,"EQUIPO ESPECIAL, APLICAÇÃO:P/ INJEÇÃO GÁS CARBÔNICO CO2 - VIA SC, NÚMERO VIAS:VIA ÚNICA, MATERIAL:TUBO EM PVC, COMPRIMENTO:CERCA DE 160 CM, CARACTERÍSTICAS ADICIONAIS:USO EM CARBOXITERAPIA, ESTERILIDADE:ESTÉRIL, USO ÚNICO",Unidade,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,7200,6.74,48528.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,268510,"FLUMAZENIL, DOSAGEM:0,1 MG/ML, INDICAÇÃO:SOLUÇÃO INJETÁVEL",Ampola,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,150,17.4,2610.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,410545,"LUVA CIRÚRGICA, MATERIAL:LÁTEX NATURAL, TAMANHO:9, ESTERILIDADE:ESTÉRIL, CARACTERÍSTICAS ADICIONAIS:COMPRIMENTO MÍNIMO DE 28CM, APRESENTAÇÃO:SEM PÓ, ANTIALÉRGICA, TIPO USO:DESCARTÁVEL, FORMATO:ANATÔMICO, EMBALAGEM:CONFORME NORMA ABNT C/ ABERTURA ASSÉPTICA",Caixa,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,3300,1.79,5907.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,272853,"VIGABATRINA, DOSAGEM:500 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,4320,6.35,27432.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,284106,"RISPERIDONA, DOSAGEM:1 MG/ML, USO:SOLUÇÃO ORAL, COM PIPETA DOSADORA",Frasco,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,6200,18.09,112158.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,272850,"TOPIRAMATO, DOSAGEM:50 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,720,0.78,561.6
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,442728,"FRALDA DESCARTÁVEL, TIPO FORMATO:UNISSEX ANATÔMICO, PESO USUÁRIO:DE 70 A 90 KG, CARACTERÍSTICAS ADICIONAIS:FLOCOS DE GEL, ABAS ANTIVAZAMENTO, TIPO ADESIVO FIXAÇÃO:FITAS ADESIVAS REPOSICIONÁVEIS, USO:FLUXO INTENSO OU NOTURNO",Unidade,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,6000,16.02,96120.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,331555,"CEFALEXINA, DOSAGEM:50 MG/ML, FORMA FARMACÊUTICA:PÓ P/ SUSPENSÃO ORAL",Frasco,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,3120,14.84,46300.8
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,396604,"BIPERIDENO, COMPOSIÇÃO:CLORIDRATO, CONCENTRAÇÃO:5 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL",Ampola,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,1800,3.62,6516.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,308732,"ÁCIDO VALPRÓICO, DOSAGEM:50 MG/ML, FORMA FARMACÊUTICA:XAROPE",Frasco,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,600,10.26,6156.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,267512,"AMITRIPTILINA CLORIDRATO, DOSAGEM:25 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,103200,0.08,8256.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,434874,"EMPAGLIFLOZINA, CONCENTRAÇÃO:25 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,1800,9.11,16398.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,270140,"BIPERIDENO, DOSAGEM:2 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,90600,0.5,45300.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,272786,"DONEPEZILA, DOSAGEM:10 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,1800,1.83,3294.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,272454,"CARBAMAZEPINA, DOSAGEM:20 MG/ML, APRESENTAÇÃO:SUSPENSÃO ORAL",Frasco,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,1200,12.96,15552.0
